Name,Category,Phone,City,State,License Number,Why Kept
Exeter Auto Repair & Sales,Motor Vehicle Dealer (general),,Exeter,RI,388,State-licensed dealer - Sep 13 push
Exotic & Special Interest Cars,Motor Vehicle Dealer (general),,Warwick,RI,133,State-licensed dealer - Sep 13 push
"Family Auto Sales, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,509,State-licensed dealer - Sep 13 push
Fenwood Auto Sales and Service,Motor Vehicle Dealer (general),,Mapleville,RI,291,State-licensed dealer - Sep 13 push
Five Star Auto Sales,Motor Vehicle Dealer (general),,Smithfield,RI,425,State-licensed dealer - Sep 13 push
Cars Primo,Motor Vehicle Dealer (general),,East Providence,RI,578,State-licensed dealer - Sep 13 push
"Fleetway Sales & Service, Inc.",Motor Vehicle Dealer (general),,East Providence,RI,60,State-licensed dealer - Sep 13 push
Flood Ford Lincoln Mercury,Motor Vehicle Dealer (general),,Narragansett,RI,325,State-licensed dealer - Sep 13 push
Flood Ford of East Greenwich,Motor Vehicle Dealer (general),,East Greenwich,RI,338,State-licensed dealer - Sep 13 push
Flood Mazda,Motor Vehicle Dealer (general),,Wakefield,RI,170,State-licensed dealer - Sep 13 push
Francis Auto Sales,Motor Vehicle Dealer (general),,Bristol,RI,774,State-licensed dealer - Sep 13 push
Frenchtown Auto Sales 3662 Quaker,Motor Vehicle Dealer (general),,North Kingstown,RI,499,State-licensed dealer - Sep 13 push
FRIZZO AUTO SALES,Motor Vehicle Dealer (general),,PAWTUCKET,RI,23,State-licensed dealer - Sep 13 push
FSA Auto Sales And Repair,Motor Vehicle Dealer (general),,Pawtucket,RI,557,State-licensed dealer - Sep 13 push
Full Stop Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,609,State-licensed dealer - Sep 13 push
G.C.C. Auto Sales,Motor Vehicle Dealer (general),,Foster,RI,446,State-licensed dealer - Sep 13 push
GALINDA'S AUTOMOTIVE SALES INC Main,Motor Vehicle Dealer (general),,Cumberland,RI,392,State-licensed dealer - Sep 13 push
GALINDA'S AUTOMOTIVE SALES INC Annex,Motor Vehicle Dealer (general),,Cumberland,RI,396,State-licensed dealer - Sep 13 push
Gansett Auto Sales & Parts,Motor Vehicle Dealer (general),,Pawtucket,RI,435,State-licensed dealer - Sep 13 push
Garcia Auto Sales Inc,Motor Vehicle Dealer (general),,Providence,RI,484,State-licensed dealer - Sep 13 push
"Gateway Auto Sales, LLC",Motor Vehicle Dealer (general),,Providence,RI,518,State-licensed dealer - Sep 13 push
Gemini Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,464,State-licensed dealer - Sep 13 push
"General Auto Sales, Inc.",Motor Vehicle Dealer (general),,Tiverton,RI,121,State-licensed dealer - Sep 13 push
Genesis of West Warwick,Motor Vehicle Dealer (general),,West Warwick,RI,85,State-licensed dealer - Sep 13 push
"George’s Auto Sales and Repair, Inc.",Motor Vehicle Dealer (general),,Mapleville,RI,525,State-licensed dealer - Sep 13 push
"German Motors, Inc.",Motor Vehicle Dealer (general),,Providence,RI,96,State-licensed dealer - Sep 13 push
Gershkoff Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,613,State-licensed dealer - Sep 13 push
"Gino’s Auto Sales & Body Works, Inc.",Motor Vehicle Dealer (general),,North Providence,RI,652,State-licensed dealer - Sep 13 push
GLS Auto Sales,Motor Vehicle Dealer (general),,Pascoag,RI,749,State-licensed dealer - Sep 13 push
"Gold Star Auto Sales, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,515,State-licensed dealer - Sep 13 push
"Graniteville Auto Sales, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,108,State-licensed dealer - Sep 13 push
"Grasso’s Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,501,State-licensed dealer - Sep 13 push
Great Road Auto Sales,Motor Vehicle Dealer (general),,North Smithfield,RI,346,State-licensed dealer - Sep 13 push
"Greystone Motors, Inc.",Motor Vehicle Dealer (general),,North Providence,RI,393,State-licensed dealer - Sep 13 push
Grieco Honda,Motor Vehicle Dealer (general),,Johnston,RI,232,State-licensed dealer - Sep 13 push
Grieco Hyundai,Motor Vehicle Dealer (general),,Johnston,RI,78,State-licensed dealer - Sep 13 push
Grieco Toyota,Motor Vehicle Dealer (general),,East Providence,RI,395,State-licensed dealer - Sep 13 push
"Halls Garage, Inc.",Motor Vehicle Dealer (general),,North Scituate,RI,477,State-licensed dealer - Sep 13 push
"Hamilton Auto Sales, LLC",Motor Vehicle Dealer (general),,North Kingstown,RI,529,State-licensed dealer - Sep 13 push
Happy Camper Auto & Rv Sales,Motor Vehicle Dealer (general),,West Warwick,RI,173,State-licensed dealer - Sep 13 push
Herb Chambers Alfa Romeo Warwick,Motor Vehicle Dealer (general),,Warwick,RI,,State-licensed dealer - Sep 13 push
"Herb Chambers Cadillac, Inc.",Motor Vehicle Dealer (general),,Warwick,RI,,State-licensed dealer - Sep 13 push
Herb Chambers Maserati of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,,State-licensed dealer - Sep 13 push
Heritage Auto Sales,Motor Vehicle Dealer (general),,Warwick,RI,690,State-licensed dealer - Sep 13 push
"Hernandez Auto Sales, Inc",Motor Vehicle Dealer (general),,Pawtucket,RI,461,State-licensed dealer - Sep 13 push
Hertz Car Sales,Motor Vehicle Dealer (general),,Johnston,RI,44,State-licensed dealer - Sep 13 push
"Higgins Auto, LLC",Motor Vehicle Dealer (general),,Charlestown,RI,422,State-licensed dealer - Sep 13 push
Hillside Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,721,State-licensed dealer - Sep 13 push
HI-Tech Auto Sales and Rentals,Motor Vehicle Dealer (general),,Providence,RI,323,State-licensed dealer - Sep 13 push
"Holiday Auto, Inc.",Motor Vehicle Dealer (general),,Central Falls,RI,560,State-licensed dealer - Sep 13 push
"Home Towne Auto ""Annex""",Motor Vehicle Dealer (general),,North Smithfield,RI,349,State-licensed dealer - Sep 13 push
"Home Towne Auto ""Main""",Motor Vehicle Dealer (general),,North Smithfield,RI,300,State-licensed dealer - Sep 13 push
"Hub’s Auto Sales, Inc.",Motor Vehicle Dealer (general),,Central Falls,RI,46,State-licensed dealer - Sep 13 push
Hurd Auto Mall,Motor Vehicle Dealer (general),,Johnston,RI,33,State-licensed dealer - Sep 13 push
Hyundai of Newport 1215,Motor Vehicle Dealer (general),,Middletown,RI,105,State-licensed dealer - Sep 13 push
Iannotti Bros. Select Cars,Motor Vehicle Dealer (general),,Coventry,RI,65,State-licensed dealer - Sep 13 push
Independent Auto Sales,Motor Vehicle Dealer (general),,Pawtucket,RI,397,State-licensed dealer - Sep 13 push
"Industrial Motors, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,536,State-licensed dealer - Sep 13 push
Infiniti of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,639,State-licensed dealer - Sep 13 push
"Inner-City Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,523,State-licensed dealer - Sep 13 push
